PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, AB07
Station name, SandPoint_AK2004
Begin Date, 2004-10-23
End Date, 2026-03-31
Release Date, 2026-04-01
Source file, AB07.cwu.igs14.pos
Offset from source file, -77.72 mm North, -78.50 mm East, -7.52 mm Vertical
Reference position, 55.3492759140 North Latitude, -160.4767579225 East Longitude, 89.58219 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2004-10-23,0.00, 0.00, 0.00, 2.44, 1.71, 7.48, repro,
2004-10-24,-3.02, -1.08, 12.22, 2.38, 1.66, 7.23, repro,
2004-10-25,-0.11, -2.12, 2.78, 2.36, 1.64, 7.19, repro,
2004-10-26,-3.54, -2.48, -3.45, 2.48, 1.71, 7.55, repro,
2004-10-27,-1.67, -5.10, -0.60, 2.46, 1.67, 7.47, repro,
2004-10-28,-3.01, -3.05, 3.12, 2.42, 1.69, 7.45, repro,
2004-10-29,-2.94, -4.20, -1.01, 2.37, 1.66, 7.21, repro,
2004-10-30,-2.79, -4.07, 7.91, 2.41, 1.68, 7.28, repro,
2004-10-31,-4.15, -3.93, -2.55, 2.38, 1.67, 7.29, repro,
2004-11-01,-2.26, -4.52, -11.09, 2.41, 1.67, 7.35, repro,
2004-11-02,-3.45, -4.81, -5.89, 2.4, 1.67, 7.37, repro,
2004-11-03,-2.07, -5.10, 0.07, 2.42, 1.67, 7.38, repro,
2004-11-04,-1.99, -5.46, 1.13, 2.37, 1.64, 7.19, repro,
2004-11-05,-0.05, -3.27, 3.30, 2.37, 1.66, 7.22, repro,
2004-11-06,-0.96, -0.89, -4.80, 2.42, 1.66, 7.32, repro,
2004-11-07,-1.96, -2.47, -6.43, 2.37, 1.66, 7.29, repro,
2004-11-08,-0.75, -5.15, -10.92, 2.75, 1.95, 8.34, repro,
2004-11-09,-0.99, -3.03, 0.66, 2.54, 1.74, 7.55, repro,
2004-11-10,-2.14, -0.98, 0.75, 2.6, 1.78, 7.77, repro,
