PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, AC28
Station name, NagaiIslndAK2008
Begin Date, 2008-05-05
End Date, 2025-12-17
Release Date, 2026-03-28
Source file, AC28.cwu.igs14.pos
Offset from source file, -5.12 mm North, -45.38 mm East, 6.88 mm Vertical
Reference position, 55.0784909642 North Latitude, -160.0491609999 East Longitude, 365.10824 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-05-05,0.00, 0.00, 0.00, 2.21, 1.56, 7.08, repro,
2008-05-06,-2.11, -1.14, 0.29, 2.25, 1.6, 7.22, repro,
2008-05-07,-1.60, -0.04, 2.01, 2.21, 1.56, 7.08, repro,
2008-05-08,-0.29, 0.42, 1.04, 2.21, 1.56, 7.1, repro,
2008-05-09,-0.99, -0.47, -1.24, 2.21, 1.56, 7.05, repro,
2008-05-10,0.54, 0.02, -1.32, 2.22, 1.56, 7.06, repro,
2008-05-11,-0.66, -0.85, 4.81, 2.25, 1.6, 7.21, repro,
2008-05-12,-2.47, 0.93, 4.63, 2.22, 1.55, 7.09, repro,
2008-05-13,-1.22, 0.25, 4.01, 2.19, 1.55, 7.01, repro,
2008-05-14,-2.07, 0.10, 2.95, 2.21, 1.55, 7.03, repro,
2008-05-15,-0.80, 0.04, 2.06, 2.21, 1.55, 7.03, repro,
2008-05-16,-0.82, -0.66, 4.78, 2.2, 1.56, 7.06, repro,
2008-05-17,-1.21, -0.61, -2.43, 2.22, 1.56, 7.1, repro,
2008-05-18,0.34, 0.05, 1.03, 2.2, 1.56, 7.06, repro,
2008-05-19,-1.20, -0.31, -2.10, 2.22, 1.57, 7.13, repro,
2008-05-20,-1.12, 0.27, -0.75, 2.21, 1.56, 7.06, repro,
2008-05-21,1.39, -0.63, -1.04, 2.21, 1.56, 7.1, repro,
2008-05-22,0.67, -0.90, -4.75, 2.25, 1.58, 7.22, repro,
2008-05-23,0.87, -1.52, 5.84, 2.24, 1.58, 7.18, repro,
2008-05-24,-0.64, 0.96, 3.91, 2.24, 1.58, 7.21, repro,
2008-05-25,1.45, -1.08, 1.66, 2.26, 1.58, 7.26, repro,
2008-05-26,1.14, -0.66, 0.31, 2.21, 1.56, 7.05, repro,
2008-05-27,0.02, -1.16, 3.74, 2.23, 1.58, 7.12, repro,
2008-05-28,-0.60, -0.82, 7.51, 2.2, 1.56, 7.05, repro,
2008-05-29,-0.12, -1.31, 8.84, 2.21, 1.56, 7.08, repro,
2008-05-30,-0.34, -1.98, 1.58, 2.21, 1.56, 7.06, repro,
2008-05-31,-0.38, -1.84, 7.79, 2.22, 1.56, 7.08, repro,
2008-06-01,-0.96, -0.95, 7.64, 2.2, 1.56, 7.06, repro,
2008-06-02,0.06, -1.64, 2.58, 2.2, 1.56, 7.05, repro,
2008-06-03,-0.55, -1.79, 7.34, 2.26, 1.6, 7.52, repro,
2008-06-04,-1.37, -0.81, 4.36, 2.2, 1.56, 7.07, repro,
2008-06-05,-0.09, -0.93, 7.28, 2.22, 1.56, 7.11, repro,
