PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, AC41
Station name, PortMollerAK2006
Begin Date, 2006-08-05
End Date, 2025-09-17
Release Date, 2026-03-28
Source file, AC41.cwu.igs14.pos
Offset from source file, -55.40 mm North, -57.61 mm East, 11.50 mm Vertical
Reference position, 55.9086686506 North Latitude, -160.4073051743 East Longitude, 407.75029 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-08-05,0.00, 0.00, 0.00, 2.3, 1.6, 7.48, repro,
2006-08-06,-1.41, 0.02, 13.91, 2.29, 1.59, 7.48, repro,
2006-08-07,0.28, 0.52, 18.41, 2.29, 1.59, 7.46, repro,
2006-08-08,0.23, -0.21, 11.18, 2.26, 1.57, 7.41, repro,
2006-08-09,1.20, 0.64, 9.60, 2.24, 1.56, 7.35, repro,
2006-08-10,0.86, 0.27, 5.58, 2.23, 1.56, 7.3, repro,
2006-08-11,1.74, -0.18, 11.75, 2.28, 1.6, 7.43, repro,
2006-08-12,-0.32, -1.28, 17.20, 2.24, 1.56, 7.27, repro,
2006-08-13,-2.63, -0.03, 16.63, 2.26, 1.57, 7.43, repro,
2006-08-14,-0.86, 1.29, 12.80, 2.23, 1.56, 7.32, repro,
2006-08-15,-0.82, -1.18, 11.69, 2.24, 1.59, 7.57, repro,
2006-08-16,-3.35, -1.79, 9.24, 2.22, 1.56, 7.3, repro,
2006-08-17,-4.80, -1.01, 7.00, 2.24, 1.57, 7.32, repro,
2006-08-18,-1.96, -1.31, 14.36, 2.33, 1.59, 7.48, repro,
2006-08-19,-4.15, -2.15, -4.71, 2.23, 1.56, 7.25, repro,
2006-08-20,-0.84, -2.83, 20.57, 2.25, 1.57, 7.38, repro,
2006-08-21,-3.47, -1.53, 18.60, 2.29, 1.58, 7.49, repro,
2006-08-22,-2.51, -2.28, 7.70, 2.27, 1.57, 7.43, repro,
2006-08-23,-2.67, -0.77, 16.85, 2.29, 1.57, 7.47, repro,
2006-08-24,-2.11, -2.60, 13.39, 2.29, 1.58, 7.51, repro,
2006-08-25,-1.42, -2.46, 12.50, 2.32, 1.59, 7.57, repro,
2006-08-26,-0.37, -0.70, 13.56, 2.36, 1.62, 7.65, repro,
2006-08-27,-2.65, -1.88, 13.76, 2.38, 1.62, 7.63, repro,
