PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P067
Station name, CleggRanchCS2004
Begin Date, 2004-01-14
End Date, 2026-04-01
Release Date, 2026-04-02
Source file, P067.cwu.igs14.pos
Offset from source file, 245.54 mm North, -255.33 mm East, -10.97 mm Vertical
Reference position, 35.5517532665 North Latitude, -121.0029613705 East Longitude, 107.00063 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2004-01-14,0.00, 0.00, 0.00, 2.14, 1.8, 8.23, repro,
2004-01-15,-0.09, 0.57, 7.06, 2.11, 1.87, 8.17, repro,
2004-01-16,2.08, 1.72, -13.69, 2.12, 1.74, 8.19, repro,
2004-01-17,2.97, 0.75, 2.71, 2.15, 1.87, 8.48, repro,
2004-01-18,5.76, 2.50, -0.31, 2.06, 1.78, 8.13, repro,
2004-01-19,3.65, 1.13, 2.05, 2.06, 1.81, 8.1, repro,
2004-01-20,3.00, 0.64, -8.61, 2.18, 1.82, 8.33, repro,
2004-01-21,3.83, 1.81, -0.63, 2.11, 1.87, 8.13, repro,
2004-01-22,6.37, 2.36, -6.89, 2.03, 1.71, 7.85, repro,
2004-01-23,6.14, 2.35, -6.55, 2.04, 1.8, 8.18, repro,
2004-01-24,5.34, 1.42, -10.32, 2.13, 1.83, 8.36, repro,
2004-01-25,7.26, 1.25, 3.75, 2.07, 1.78, 8.02, repro,
2004-01-26,6.02, 1.31, 10.82, 2.07, 1.78, 8.06, repro,
2004-01-27,8.40, 2.16, 2.26, 2.08, 1.87, 8.37, repro,
2004-01-28,8.73, 1.24, -14.34, 2.12, 1.92, 8.32, repro,
2004-01-29,9.26, 1.29, 9.64, 2.04, 1.77, 8.04, repro,
2004-01-30,7.86, 0.78, 2.89, 2.13, 1.86, 8.3, repro,
2004-01-31,6.43, 2.12, 6.97, 2.08, 1.8, 8.08, repro,
2004-02-01,8.68, 0.63, 3.97, 2, 1.75, 7.86, repro,
2004-02-02,8.31, 2.93, -10.13, 1.97, 1.7, 7.84, repro,
2004-02-03,9.24, 1.74, -6.11, 2.03, 1.8, 8.17, repro,
2004-02-04,10.92, 2.34, -0.73, 2.04, 1.77, 8.05, repro,
2004-02-05,10.19, -1.36, 5.51, 2.04, 1.77, 8.04, repro,
2004-02-06,10.76, 2.35, 13.34, 2.11, 1.82, 8.22, repro,
2004-02-07,13.94, 2.09, 1.60, 2.07, 1.82, 8.27, repro,
2004-02-08,13.35, 3.62, -0.27, 2.1, 1.84, 8.26, repro,
2004-02-09,11.28, 2.50, 2.72, 2.07, 1.82, 8.31, repro,
2004-02-10,11.70, 1.44, 18.24, 2.04, 1.82, 8.14, repro,
2004-02-11,12.97, 2.00, 2.39, 2.02, 1.75, 7.88, repro,
2004-02-12,13.40, 2.33, -7.02, 2.04, 1.71, 8.02, repro,
2004-02-13,13.54, 2.16, 13.11, 2.19, 1.95, 8.82, repro,
2004-02-14,14.29, 3.20, -2.49, 2.14, 1.86, 8.65, repro,
2004-02-15,13.59, 1.30, -1.17, 2.16, 1.93, 8.98, repro,
2004-02-16,15.40, 1.94, 2.51, 2.09, 1.79, 8.27, repro,
2004-02-17,16.68, 1.10, -0.55, 2.03, 1.7, 7.99, repro,
2004-02-18,15.50, 0.93, 1.20, 2.09, 1.73, 8.2, repro,
