PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P157
Station name, GordaTwo__CN2006
Begin Date, 2006-05-11
End Date, 2026-03-29
Release Date, 2026-03-30
Source file, P157.cwu.igs14.pos
Offset from source file, 158.17 mm North, -155.73 mm East, -6.75 mm Vertical
Reference position, 40.2475471614 North Latitude, -124.3080744946 East Longitude, 695.81478 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-05-11,0.00, 0.00, 0.00, 2.02, 1.55, 7.19, repro,
2006-05-12,1.61, -0.59, -8.01, 2.06, 1.59, 7.25, repro,
2006-05-13,1.46, -1.07, -6.34, 2.02, 1.55, 7.16, repro,
2006-05-14,2.23, -0.12, -5.78, 2.04, 1.55, 7.21, repro,
2006-05-15,1.46, -0.61, -9.29, 2.04, 1.54, 7.21, repro,
2006-05-16,2.39, -0.57, -6.19, 2.04, 1.59, 7.37, repro,
2006-05-17,2.55, -0.44, -0.56, 2.04, 1.59, 7.36, repro,
2006-05-18,2.00, -0.96, 2.10, 2.03, 1.55, 7.17, repro,
2006-05-19,2.12, -1.95, -3.60, 2.1, 1.57, 7.26, repro,
2006-05-20,0.43, -3.05, -3.89, 2.1, 1.56, 7.27, repro,
2006-05-21,3.47, -0.91, 3.41, 2.09, 1.56, 7.28, repro,
2006-05-22,1.81, -2.31, 3.84, 2.08, 1.58, 7.31, repro,
2006-05-23,7.00, 1.48, -14.82, 2.1, 1.58, 7.3, repro,
2006-05-24,4.40, -0.62, -5.45, 2.09, 1.59, 7.31, repro,
2006-05-25,2.20, -1.49, -11.33, 2.2, 1.65, 7.69, repro,
2006-05-26,2.47, -1.57, -3.83, 2.15, 1.61, 7.54, repro,
2006-05-27,3.53, -1.54, -9.06, 2.08, 1.57, 7.29, repro,
2006-05-28,3.89, -2.05, -8.34, 2.09, 1.58, 7.31, repro,
2006-05-29,2.61, -1.23, -8.24, 2.09, 1.58, 7.3, repro,
2006-05-30,3.63, -2.21, -5.83, 2.15, 1.62, 7.48, repro,
2006-05-31,2.51, -1.51, -7.96, 2.15, 1.6, 7.48, repro,
2006-06-01,2.43, -1.93, -5.49, 2.17, 1.64, 7.59, repro,
2006-06-02,4.18, -3.38, -1.97, 2.25, 1.68, 7.87, repro,
2006-06-03,2.59, -1.04, -4.43, 2.2, 1.65, 7.74, repro,
2006-06-04,5.08, -1.41, -7.52, 2.14, 1.61, 7.5, repro,
2006-06-05,2.58, -2.07, -0.97, 2.14, 1.6, 7.49, repro,
2006-06-06,0.85, -3.52, 6.90, 2.15, 1.59, 7.45, repro,
2006-06-07,2.04, -2.55, -2.10, 2.15, 1.59, 7.45, repro,
2006-06-08,3.97, -2.87, -9.81, 2.1, 1.59, 7.35, repro,
2006-06-09,3.04, -2.17, 0.18, 2.13, 1.62, 7.51, repro,
2006-06-10,2.82, -2.66, -3.98, 2.07, 1.58, 7.25, repro,
2006-06-11,2.90, -3.70, -0.76, 2.11, 1.6, 7.44, repro,
2006-06-12,2.86, -1.97, 0.12, 2.16, 1.67, 7.63, repro,
2006-06-13,3.67, -2.61, -5.23, 2.15, 1.61, 7.5, repro,
2006-06-14,4.85, -2.92, -4.11, 2.1, 1.59, 7.35, repro,
2006-06-15,2.52, -2.39, -1.63, 2.09, 1.58, 7.31, repro,
2006-06-16,1.93, -3.49, -1.22, 2.07, 1.57, 7.25, repro,
2006-06-17,4.22, -2.19, 0.11, 2.08, 1.56, 7.25, repro,
2006-06-18,1.08, -3.26, 10.58, 2.11, 1.62, 7.54, repro,
2006-06-19,4.51, -3.60, -3.17, 2.12, 1.62, 7.57, repro,
2006-06-20,3.49, -3.33, -2.60, 2.11, 1.62, 7.54, repro,
2006-06-21,9.06, -4.75, -7.59, 2.1, 1.62, 7.52, repro,
2006-06-22,2.28, -4.06, -9.73, 2.09, 1.61, 7.44, repro,
2006-06-23,4.02, -3.97, -5.50, 2.1, 1.62, 7.53, repro,
2006-06-24,3.53, -4.55, -1.71, 2.12, 1.62, 7.55, repro,
2006-06-25,3.29, -3.21, -8.28, 2.14, 1.69, 7.71, repro,
2006-06-26,4.43, -4.35, -1.26, 2.14, 1.69, 7.74, repro,
2006-06-27,1.97, -4.73, -2.29, 2.16, 1.69, 7.71, repro,
2006-06-28,3.78, -3.95, 1.64, 2.11, 1.62, 7.5, repro,
2006-06-29,5.04, -4.53, 1.94, 2.04, 1.59, 7.37, repro,
2006-06-30,4.67, -4.95, -3.63, 2.08, 1.58, 7.4, repro,
2006-07-01,1.36, -5.49, -0.63, 2.08, 1.59, 7.42, repro,
2006-07-02,4.90, -6.03, -1.91, 2.11, 1.69, 7.75, repro,
2006-07-03,5.12, -5.53, -5.61, 2.07, 1.58, 7.41, repro,
2006-07-04,3.97, -5.17, -6.20, 2.07, 1.59, 7.41, repro,
2006-07-05,3.65, -5.84, -5.81, 2.07, 1.58, 7.35, repro,
2006-07-06,1.35, -7.37, -12.62, 2.1, 1.58, 7.42, repro,
2006-07-07,3.72, -5.88, -5.73, 2.09, 1.6, 7.48, repro,
2006-07-08,4.12, -5.08, -2.42, 2.09, 1.59, 7.5, repro,
2006-07-09,3.99, -6.02, -0.09, 2.08, 1.59, 7.45, repro,
2006-07-10,3.44, -5.87, -1.46, 2.07, 1.58, 7.38, repro,
2006-07-11,5.27, -6.66, -0.82, 2.08, 1.58, 7.43, repro,
2006-07-12,5.18, -7.46, -4.57, 2.21, 1.72, 7.87, repro,
2006-07-13,5.32, -4.73, -3.18, 2.09, 1.59, 7.48, repro,
2006-07-14,5.49, -5.71, 0.64, 2.08, 1.59, 7.47, repro,
2006-07-15,4.63, -7.08, -4.28, 2.08, 1.59, 7.46, repro,
