PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P163
Station name, PringleRdgCN2006
Begin Date, 2006-06-07
End Date, 2026-03-29
Release Date, 2026-03-30
Source file, P163.cwu.igs14.pos
Offset from source file, 103.53 mm North, -127.39 mm East, 9.48 mm Vertical
Reference position, 40.2195718789 North Latitude, -124.0572905929 East Longitude, 425.26756 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-06-07,0.00, 0.00, 0.00, 2.17, 1.61, 7.48, repro,
2006-06-08,1.99, 1.25, 0.97, 2.11, 1.6, 7.34, repro,
2006-06-09,0.88, 0.73, 0.28, 2.11, 1.6, 7.32, repro,
2006-06-10,0.55, 0.14, -0.88, 2.1, 1.58, 7.29, repro,
2006-06-11,0.94, 1.44, -0.84, 2.13, 1.62, 7.44, repro,
2006-06-12,1.26, -0.67, 7.84, 2.22, 1.68, 7.75, repro,
2006-06-13,1.37, 0.02, 5.71, 2.21, 1.66, 7.63, repro,
2006-06-14,1.64, 1.08, 2.02, 2.12, 1.6, 7.34, repro,
2006-06-15,0.78, 1.22, 4.50, 2.1, 1.58, 7.25, repro,
2006-06-16,2.37, -0.52, 7.27, 2.09, 1.58, 7.27, repro,
2006-06-17,1.22, 0.64, 5.54, 2.1, 1.6, 7.32, repro,
2006-06-18,-1.00, 1.19, 13.86, 2.14, 1.63, 7.57, repro,
2006-06-19,2.92, -0.42, -2.60, 2.15, 1.65, 7.64, repro,
2006-06-20,3.23, 2.21, 6.16, 2.14, 1.65, 7.65, repro,
2006-06-21,-2.38, -1.47, 7.51, 2.11, 1.63, 7.5, repro,
2006-06-22,0.99, 0.27, 5.23, 2.11, 1.63, 7.46, repro,
2006-06-23,4.23, -1.24, 4.63, 2.14, 1.64, 7.56, repro,
2006-06-24,1.65, 0.02, 3.17, 2.13, 1.63, 7.53, repro,
2006-06-25,2.35, 0.00, 1.97, 2.14, 1.64, 7.57, repro,
2006-06-26,2.00, -0.44, 2.59, 2.12, 1.64, 7.55, repro,
2006-06-27,1.49, -1.04, 6.21, 2.17, 1.72, 7.76, repro,
2006-06-28,3.52, -0.53, 8.89, 2.2, 1.66, 7.86, repro,
2006-06-29,2.80, -1.70, 7.71, 2.06, 1.59, 7.38, repro,
2006-06-30,1.04, -1.13, 4.10, 2.09, 1.59, 7.37, repro,
2006-07-01,1.77, -2.42, 6.93, 2.1, 1.6, 7.44, repro,
2006-07-02,1.66, -2.42, 0.97, 2.13, 1.71, 7.81, repro,
2006-07-03,2.61, -2.89, -0.91, 2.1, 1.6, 7.44, repro,
2006-07-04,3.01, -1.59, -1.04, 2.09, 1.59, 7.38, repro,
2006-07-05,3.25, -1.04, -0.92, 2.09, 1.59, 7.36, repro,
2006-07-06,1.94, -2.13, -5.03, 2.12, 1.6, 7.47, repro,
2006-07-07,3.45, -2.15, -2.56, 2.15, 1.67, 7.67, repro,
2006-07-08,1.63, -1.85, 5.08, 2.11, 1.61, 7.53, repro,
2006-07-09,2.42, -2.55, 5.01, 2.09, 1.6, 7.44, repro,
2006-07-10,2.84, -1.60, -0.49, 2.09, 1.59, 7.38, repro,
2006-07-11,2.19, -2.31, 3.02, 2.09, 1.6, 7.46, repro,
2006-07-12,2.01, -1.63, -0.69, 2.1, 1.61, 7.54, repro,
2006-07-13,2.61, -1.77, 2.57, 2.1, 1.61, 7.55, repro,
2006-07-14,1.25, -2.52, 6.75, 2.1, 1.6, 7.48, repro,
2006-07-15,2.35, -3.43, 8.68, 2.09, 1.6, 7.44, repro,
2006-07-16,2.76, -2.25, 6.89, 2.1, 1.61, 7.51, repro,
2006-07-17,5.46, -0.65, 7.43, 2.13, 1.65, 7.72, repro,
2006-07-18,2.60, -1.18, 8.93, 2.04, 1.57, 7.25, repro,
2006-07-19,4.05, -2.81, 5.55, 2.04, 1.56, 7.2, repro,
2006-07-20,3.10, -4.11, 9.20, 2.04, 1.57, 7.27, repro,
2006-07-21,3.27, -3.68, 4.54, 2.05, 1.58, 7.32, repro,
2006-07-22,4.38, -2.96, 4.35, 2.02, 1.56, 7.16, repro,
2006-07-23,2.34, -2.21, 4.46, 2.1, 1.67, 7.67, repro,
2006-07-24,3.73, -4.47, 10.13, 2.03, 1.57, 7.22, repro,
2006-07-25,3.65, -5.89, 5.97, 2.03, 1.57, 7.23, repro,
2006-07-26,4.01, -4.22, 12.65, 2.12, 1.67, 7.65, repro,
2006-07-27,2.08, -3.91, 4.63, 2.08, 1.63, 7.43, repro,
2006-07-28,2.07, -3.89, 9.53, 2.02, 1.56, 7.18, repro,
2006-07-29,1.60, -4.17, 0.12, 2.02, 1.56, 7.15, repro,
2006-07-30,4.76, -4.42, 4.91, 2.07, 1.61, 7.36, repro,
2006-07-31,1.70, -3.87, 13.23, 2.04, 1.56, 7.24, repro,
2006-08-01,5.46, -3.00, 6.66, 2.04, 1.57, 7.27, repro,
2006-08-02,5.42, -1.90, 8.90, 2.08, 1.63, 7.64, repro,
2006-08-03,3.49, -2.85, 4.05, 2.1, 1.66, 7.62, repro,
2006-08-04,2.53, -4.37, 8.13, 2.12, 1.64, 7.59, repro,
2006-08-05,2.00, -4.25, 5.99, 2.11, 1.67, 7.68, repro,
2006-08-06,4.21, -5.63, 3.56, 2.1, 1.63, 7.6, repro,
2006-08-07,3.36, -3.64, 5.80, 2.09, 1.62, 7.58, repro,
2006-08-08,3.34, -4.42, 5.77, 2.04, 1.58, 7.26, repro,
2006-08-09,4.05, -2.94, 6.19, 2.04, 1.57, 7.25, repro,
2006-08-10,3.53, -4.83, 8.58, 2.04, 1.57, 7.28, repro,
2006-08-11,1.98, -3.50, 11.79, 2.05, 1.57, 7.26, repro,
2006-08-12,5.28, -3.42, 5.57, 2.03, 1.57, 7.22, repro,
2006-08-13,2.79, -4.88, 9.81, 2.08, 1.62, 7.4, repro,
2006-08-14,2.05, -4.55, 7.94, 2.07, 1.61, 7.34, repro,
2006-08-15,2.14, -4.46, 8.18, 2.11, 1.6, 7.38, repro,
2006-08-16,2.84, -4.42, 7.58, 2.08, 1.61, 7.37, repro,
2006-08-17,5.08, -2.57, 0.23, 2.04, 1.57, 7.27, repro,
2006-08-18,3.25, -3.81, 10.59, 2.12, 1.66, 7.53, repro,
2006-08-19,3.47, -4.96, 5.56, 2.04, 1.57, 7.27, repro,
2006-08-20,3.68, -4.41, 8.52, 2.03, 1.58, 7.23, repro,
2006-08-21,4.65, -5.18, 8.10, 2.03, 1.59, 7.29, repro,
2006-08-22,3.75, -5.83, 9.12, 2.04, 1.59, 7.3, repro,
2006-08-23,2.74, -4.34, 13.98, 2.03, 1.59, 7.27, repro,
2006-08-24,5.12, -3.72, 14.87, 2.05, 1.6, 7.37, repro,
2006-08-25,4.60, -4.93, 12.24, 2.07, 1.64, 7.56, repro,
2006-08-26,3.30, -6.06, 10.09, 2.1, 1.67, 7.76, repro,
2006-08-27,3.72, -6.48, 11.33, 2.1, 1.68, 7.69, repro,
2006-08-28,3.92, -6.28, 11.25, 2.1, 1.67, 7.68, repro,
