PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P165
Station name, BurghRanchCN2006
Begin Date, 2006-06-09
End Date, 2026-03-29
Release Date, 2026-03-30
Source file, P165.cwu.igs14.pos
Offset from source file, 64.67 mm North, -108.83 mm East, 1.58 mm Vertical
Reference position, 40.2455489918 North Latitude, -123.8532653271 East Longitude, 545.64626 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-06-09,0.00, 0.00, 0.00, 2.24, 1.71, 8.04, repro,
2006-06-10,1.55, -1.27, -1.74, 2.18, 1.66, 7.84, repro,
2006-06-11,0.65, -0.56, 4.36, 2.26, 1.71, 8.16, repro,
2006-06-12,3.80, -1.03, -4.61, 2.26, 1.7, 8.1, repro,
2006-06-13,2.85, 0.63, 0.19, 2.28, 1.74, 8.11, repro,
2006-06-14,3.24, -0.86, 2.24, 2.23, 1.71, 7.89, repro,
2006-06-15,3.19, 0.63, 9.02, 2.2, 1.68, 8, repro,
2006-06-16,1.08, -0.25, 0.69, 2.31, 1.71, 8.09, repro,
2006-06-17,-6.98, 1.58, 2.29, 2.23, 1.68, 8, repro,
2006-06-18,-0.86, 1.27, 9.75, 2.29, 1.77, 8.27, repro,
2006-06-19,0.73, 0.56, -0.12, 2.23, 1.7, 8.12, repro,
2006-06-20,3.12, 1.55, 0.47, 2.24, 1.7, 8.17, repro,
2006-06-21,0.66, 0.99, 2.78, 2.22, 1.73, 8.19, repro,
2006-06-22,1.81, -1.87, 4.60, 2.22, 1.71, 8.12, repro,
2006-06-23,1.23, 0.27, 2.71, 2.28, 1.79, 8.27, repro,
2006-06-24,2.87, 0.17, 3.05, 2.23, 1.69, 8.13, repro,
2006-06-25,3.73, 0.69, -2.33, 2.23, 1.71, 8.13, repro,
2006-06-26,3.32, -1.68, -6.65, 2.23, 1.76, 8.3, repro,
2006-06-27,3.29, -1.04, 9.77, 2.2, 1.7, 8.06, repro,
2006-06-28,1.60, -2.67, 6.12, 2.5, 1.93, 9.24, repro,
2006-06-29,3.30, -2.49, 7.39, 2.15, 1.67, 7.94, repro,
2006-06-30,4.60, -0.67, -6.50, 2.22, 1.73, 7.99, repro,
2006-07-01,3.65, -1.69, 5.80, 2.18, 1.67, 7.98, repro,
2006-07-02,3.02, -1.54, -4.89, 2.19, 1.68, 8.01, repro,
2006-07-03,1.07, -1.87, -0.62, 2.19, 1.68, 8.02, repro,
2006-07-04,0.67, -3.80, -1.50, 2.16, 1.66, 7.87, repro,
2006-07-05,1.86, -2.54, -5.69, 2.2, 1.71, 7.94, repro,
2006-07-06,0.13, -0.30, -14.04, 2.15, 1.63, 7.71, repro,
2006-07-07,1.63, -1.02, -7.92, 2.21, 1.68, 8.16, repro,
2006-07-08,1.05, -0.99, -6.12, 2.22, 1.7, 8.18, repro,
2006-07-09,0.57, -1.52, 2.04, 2.17, 1.67, 8, repro,
2006-07-10,1.05, -3.10, -8.70, 2.19, 1.67, 8.04, repro,
2006-07-11,3.57, -0.36, -6.69, 2.17, 1.68, 7.98, repro,
2006-07-12,2.59, -2.25, -3.78, 2.24, 1.74, 8.23, repro,
2006-07-13,3.68, -1.11, -3.52, 2.19, 1.69, 8.1, repro,
2006-07-14,1.22, -1.35, 4.09, 2.19, 1.67, 8.14, repro,
