PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P313
Station name, BuchaRidgeCN2006
Begin Date, 2006-06-29
End Date, 2026-03-28
Release Date, 2026-03-29
Source file, P313.cwu.igs14.pos
Offset from source file, 87.44 mm North, -171.06 mm East, -20.45 mm Vertical
Reference position, 39.5542887926 North Latitude, -123.5645462161 East Longitude, 651.76799 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-06-29,0.00, 0.00, 0.00, 2.08, 1.62, 7.5, repro,
2006-06-30,2.04, -0.34, -11.42, 2.11, 1.62, 7.56, repro,
2006-07-01,2.58, -1.19, -3.81, 2.12, 1.62, 7.58, repro,
2006-07-02,1.50, -2.41, -3.89, 2.17, 1.72, 7.97, repro,
2006-07-03,2.16, -1.00, -9.95, 2.11, 1.62, 7.54, repro,
2006-07-04,2.14, -0.80, -8.29, 2.17, 1.65, 7.67, repro,
2006-07-05,2.57, -1.32, -8.61, 2.12, 1.62, 7.55, repro,
2006-07-06,1.36, -0.95, -14.53, 2.18, 1.66, 7.79, repro,
2006-07-07,0.83, -1.80, -6.95, 2.12, 1.62, 7.61, repro,
2006-07-08,1.43, -1.84, -3.37, 2.13, 1.62, 7.62, repro,
2006-07-09,1.79, -1.49, -4.63, 2.1, 1.6, 7.48, repro,
2006-07-10,2.78, -1.12, -9.85, 2.12, 1.62, 7.56, repro,
2006-07-11,2.98, -2.02, -1.83, 2.11, 1.61, 7.58, repro,
2006-07-12,2.44, -2.01, -7.01, 2.12, 1.62, 7.64, repro,
2006-07-13,1.61, -2.49, -4.33, 2.11, 1.63, 7.63, repro,
2006-07-14,1.12, -1.35, -2.56, 2.12, 1.61, 7.58, repro,
2006-07-15,1.77, -1.90, -3.63, 2.1, 1.61, 7.58, repro,
2006-07-16,2.14, -2.21, -0.05, 2.13, 1.63, 7.68, repro,
2006-07-17,1.47, -1.84, -3.36, 2.14, 1.65, 7.79, repro,
2006-07-18,1.36, -3.33, -0.08, 2.11, 1.62, 7.54, repro,
2006-07-19,3.08, -2.17, -8.06, 2.06, 1.58, 7.33, repro,
2006-07-20,2.68, -1.85, -7.08, 2.11, 1.63, 7.64, repro,
2006-07-21,4.83, -0.62, -5.05, 2.05, 1.6, 7.4, repro,
2006-07-22,3.97, -2.18, -2.93, 2.05, 1.59, 7.35, repro,
2006-07-23,4.19, -2.12, -5.71, 2.06, 1.58, 7.29, repro,
2006-07-24,1.69, -5.00, -0.36, 2.05, 1.59, 7.33, repro,
2006-07-25,4.31, -4.50, -1.89, 2.06, 1.58, 7.36, repro,
2006-07-26,5.15, -2.20, -0.77, 2.07, 1.59, 7.42, repro,
2006-07-27,3.50, -3.59, -2.57, 2.05, 1.58, 7.31, repro,
2006-07-28,2.63, -3.35, -1.96, 2.04, 1.57, 7.24, repro,
2006-07-29,3.25, -5.16, -5.27, 2.03, 1.57, 7.27, repro,
