PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P314
Station name, CahtoPeak_CN2004
Begin Date, 2004-08-13
End Date, 2026-03-28
Release Date, 2026-03-29
Source file, P314.cwu.igs14.pos
Offset from source file, 71.64 mm North, -219.68 mm East, -15.72 mm Vertical
Reference position, 39.6856641250 North Latitude, -123.5818494763 East Longitude, 1251.93909 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2004-08-13,0.00, 0.00, 0.00, 2.07, 1.64, 7.39, repro,
2004-08-14,-0.54, -0.65, 6.54, 2.02, 1.6, 7.26, repro,
2004-08-15,-1.07, 0.60, 6.14, 2.02, 1.6, 7.27, repro,
2004-08-16,-0.17, -0.63, -0.11, 2.07, 1.67, 7.43, repro,
2004-08-17,-0.65, -0.42, -0.33, 2.07, 1.65, 7.44, repro,
2004-08-18,-0.09, -0.90, 5.30, 2.03, 1.6, 7.26, repro,
2004-08-19,0.29, -0.54, 1.04, 2.03, 1.61, 7.32, repro,
2004-08-20,-0.05, -0.08, 5.07, 2.02, 1.6, 7.27, repro,
2004-08-21,-0.23, -0.62, 2.70, 2.01, 1.6, 7.23, repro,
2004-08-22,-0.71, 0.72, 5.51, 2.03, 1.6, 7.26, repro,
2004-08-23,0.07, -1.80, -0.67, 2.06, 1.64, 7.37, repro,
2004-08-24,0.18, -0.86, 6.64, 2.07, 1.65, 7.41, repro,
2004-08-25,0.41, -0.13, -3.32, 2.15, 1.69, 7.63, repro,
2004-08-26,-0.37, -0.32, 2.03, 2.11, 1.7, 7.49, repro,
2004-08-27,0.41, -1.42, -0.14, 2.15, 1.67, 7.57, repro,
2004-08-28,0.30, -1.14, -0.15, 2.09, 1.7, 7.52, repro,
2004-08-29,0.16, -1.63, 2.30, 2.2, 1.83, 7.98, repro,
2004-08-30,-0.45, -1.45, 4.24, 2.2, 1.83, 8, repro,
2004-08-31,0.23, -2.31, 5.54, 2.13, 1.76, 7.78, repro,
2004-09-01,0.73, -2.34, -1.16, 2.08, 1.66, 7.53, repro,
2004-09-02,1.41, -1.95, 0.32, 2.07, 1.64, 7.4, repro,
2004-09-03,-1.55, -3.02, 5.28, 2.09, 1.66, 7.51, repro,
2004-09-04,2.25, -2.09, 5.20, 2.1, 1.66, 7.53, repro,
2004-09-05,0.46, -2.78, 2.41, 2.24, 1.79, 7.95, repro,
2004-09-06,0.27, -2.52, 4.43, 2.04, 1.61, 7.33, repro,
