PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P314
Station name, CahtoPeak_CN2004
Begin Date, 2004-08-13
End Date, 2026-03-28
Release Date, 2026-03-29
Source file, P314.cwu.nam14.pos
Offset from source file, 138.86 mm North, -151.93 mm East, -14.92 mm Vertical
Reference position, 39.6856641250 North Latitude, -123.5818494763 East Longitude, 1251.93909 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2004-08-13,0.00, 0.00, 0.00, 2.06, 1.63, 7.37, repro,
2004-08-14,-0.55, -0.61, 6.78, 2.01, 1.59, 7.24, repro,
2004-08-15,-1.05, 0.71, 6.50, 2.01, 1.59, 7.25, repro,
2004-08-16,-0.07, -0.52, 0.01, 2.06, 1.66, 7.41, repro,
2004-08-17,-0.33, -0.35, -0.31, 2.06, 1.64, 7.42, repro,
2004-08-18,0.20, -0.76, 5.28, 2.02, 1.59, 7.24, repro,
2004-08-19,0.46, -0.34, 1.52, 2.02, 1.6, 7.3, repro,
2004-08-20,0.30, 0.14, 4.86, 2.01, 1.59, 7.25, repro,
2004-08-21,0.13, -0.34, 2.57, 2, 1.59, 7.21, repro,
2004-08-22,-0.41, 0.97, 5.70, 2.02, 1.59, 7.24, repro,
2004-08-23,0.40, -1.50, -0.60, 2.05, 1.63, 7.35, repro,
2004-08-24,0.70, -0.52, 6.48, 2.06, 1.64, 7.39, repro,
2004-08-25,0.96, 0.25, -3.42, 2.14, 1.68, 7.6, repro,
2004-08-26,0.22, 0.05, 1.63, 2.1, 1.69, 7.47, repro,
2004-08-27,0.95, -0.89, 0.05, 2.14, 1.66, 7.55, repro,
2004-08-28,0.82, -0.59, -0.07, 2.08, 1.69, 7.5, repro,
2004-08-29,0.70, -1.04, 2.55, 2.19, 1.82, 7.96, repro,
2004-08-30,0.22, -0.88, 4.27, 2.19, 1.82, 7.98, repro,
2004-08-31,0.87, -1.69, 5.59, 2.12, 1.75, 7.76, repro,
2004-09-01,1.33, -1.68, -1.08, 2.07, 1.65, 7.51, repro,
2004-09-02,2.08, -1.24, 0.47, 2.06, 1.63, 7.38, repro,
2004-09-03,-0.84, -2.24, 5.54, 2.08, 1.65, 7.49, repro,
2004-09-04,2.96, -1.31, 5.55, 2.09, 1.65, 7.51, repro,
2004-09-05,1.22, -1.97, 2.78, 2.23, 1.78, 7.93, repro,
2004-09-06,1.18, -1.67, 5.10, 2.03, 1.6, 7.31, repro,
2004-09-07,1.40, -1.34, 1.37, 2.03, 1.59, 7.26, repro,
2004-09-08,1.13, -2.46, -0.44, 2.15, 1.65, 7.49, repro,
2004-09-09,0.81, -1.90, 5.60, 2.24, 1.77, 8.08, repro,
2004-09-10,1.39, -1.36, 1.36, 2.09, 1.65, 7.49, repro,
2004-09-11,1.82, -1.38, 4.83, 2.02, 1.59, 7.26, repro,
2004-09-12,1.37, -2.28, 9.43, 2.02, 1.6, 7.3, repro,
2004-09-13,0.63, -0.39, 4.21, 2.12, 1.64, 7.5, repro,
2004-09-14,1.23, -2.25, 7.43, 2.04, 1.59, 7.27, repro,
2004-09-15,1.43, -1.45, 7.47, 2.07, 1.64, 7.43, repro,
2004-09-16,1.81, -1.40, 0.12, 2.02, 1.6, 7.25, repro,
2004-09-17,-0.10, -3.35, -1.23, 2.06, 1.65, 7.46, repro,
2004-09-18,1.04, -1.47, 1.44, 2.1, 1.68, 7.49, repro,
2004-09-19,1.06, -2.09, 5.35, 2.01, 1.59, 7.19, repro,
2004-09-20,-0.47, -1.34, 3.83, 2.06, 1.63, 7.38, repro,
2004-09-21,2.75, -0.96, 1.13, 2.02, 1.59, 7.18, repro,
2004-09-22,2.81, -2.01, -3.03, 2.13, 1.67, 7.57, repro,
2004-09-23,3.08, -1.72, -0.83, 2.12, 1.66, 7.52, repro,
2004-09-24,2.53, -2.70, 6.27, 2.16, 1.7, 7.71, repro,
2004-09-25,2.22, -3.10, 3.82, 2.06, 1.64, 7.41, repro,
2004-09-26,2.08, -1.98, 0.74, 2.02, 1.6, 7.21, repro,
2004-09-27,2.95, -2.38, 4.65, 2.04, 1.64, 7.34, repro,
2004-09-28,2.16, -3.59, 0.54, 2.01, 1.6, 7.25, repro,
2004-09-29,1.81, -2.67, -1.41, 2, 1.59, 7.19, repro,
2004-09-30,2.02, -2.70, -2.17, 2.01, 1.59, 7.17, repro,
2004-10-01,2.62, -3.01, 0.98, 2.01, 1.59, 7.17, repro,
2004-10-02,3.64, -3.61, -3.19, 2.13, 1.75, 7.89, repro,
2004-10-03,2.92, -3.84, -2.30, 1.99, 1.59, 7.12, repro,
2004-10-04,1.90, -3.43, -3.40, 2.02, 1.64, 7.39, repro,
2004-10-05,1.92, -3.78, -0.61, 2, 1.59, 7.2, repro,
2004-10-06,1.39, -3.04, 7.27, 2.19, 1.71, 7.74, repro,
2004-10-07,2.47, -5.15, 2.39, 2, 1.59, 7.18, repro,
2004-10-08,2.70, -4.24, 2.09, 2.04, 1.64, 7.33, repro,
2004-10-09,1.88, -2.60, 5.95, 2.1, 1.67, 7.57, repro,
2004-10-10,3.21, -4.21, -1.02, 2.04, 1.63, 7.35, repro,
2004-10-11,3.31, -4.28, -1.11, 2.04, 1.63, 7.33, repro,
2004-10-12,2.66, -4.19, -2.82, 2.05, 1.63, 7.33, repro,
2004-10-13,2.74, -4.20, -4.81, 2.08, 1.68, 7.58, repro,
2004-10-14,2.92, -3.55, 0.21, 2, 1.59, 7.2, repro,
2004-10-15,2.84, -4.37, -1.04, 2.07, 1.64, 7.41, repro,
