PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P315
Station name, LeggettSchCN2005
Begin Date, 2005-06-25
End Date, 2026-03-28
Release Date, 2026-03-29
Source file, P315.cwu.igs14.pos
Offset from source file, 77.58 mm North, -193.72 mm East, -6.93 mm Vertical
Reference position, 39.8635832019 North Latitude, -123.7168975793 East Longitude, 257.93515 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-06-25,0.00, 0.00, 0.00, 2.14, 1.64, 7.43, repro,
2005-06-26,-1.59, -0.70, -4.56, 2.21, 1.67, 7.58, repro,
2005-06-27,-0.34, -1.91, -4.36, 2.18, 1.63, 7.44, repro,
2005-06-28,-0.67, -1.02, -8.32, 2.16, 1.64, 7.44, repro,
2005-06-29,0.96, -1.82, -7.39, 2.14, 1.63, 7.42, repro,
2005-06-30,0.12, -0.75, -1.79, 2.14, 1.62, 7.37, repro,
2005-07-01,0.72, -1.76, -3.98, 2.16, 1.63, 7.45, repro,
2005-07-02,-0.61, -1.98, 0.28, 2.14, 1.62, 7.36, repro,
2005-07-03,-1.31, -1.92, 3.88, 2.17, 1.65, 7.53, repro,
2005-07-04,-0.25, -3.70, -2.62, 2.17, 1.64, 7.48, repro,
2005-07-05,-1.55, -3.36, -0.43, 2.15, 1.63, 7.42, repro,
2005-07-06,-2.13, -2.00, 2.96, 2.15, 1.63, 7.43, repro,
2005-07-07,2.05, -3.01, -5.30, 2.24, 1.68, 7.61, repro,
2005-07-08,0.16, -1.91, 3.25, 2.16, 1.65, 7.46, repro,
2005-07-09,-0.17, -2.03, 5.52, 2.16, 1.65, 7.49, repro,
2005-07-10,2.25, -1.61, -5.25, 2.21, 1.69, 7.63, repro,
2005-07-11,0.24, -3.44, 2.43, 2.13, 1.62, 7.39, repro,
2005-07-12,-0.28, -2.68, -7.95, 2.14, 1.63, 7.41, repro,
2005-07-13,2.16, -2.50, -1.09, 2.14, 1.63, 7.41, repro,
2005-07-14,1.52, -1.97, 6.14, 2.17, 1.68, 7.58, repro,
2005-07-15,-0.78, -2.40, 7.95, 2.15, 1.64, 7.43, repro,
2005-07-16,0.77, -1.98, -0.30, 2.16, 1.63, 7.47, repro,
2005-07-17,0.00, -2.14, 0.47, 2.16, 1.63, 7.47, repro,
2005-07-18,0.10, -1.36, 1.83, 2.15, 1.63, 7.45, repro,
2005-07-19,0.28, -2.59, -3.17, 2.15, 1.64, 7.43, repro,
2005-07-20,1.17, -3.05, -2.21, 2.14, 1.65, 7.43, repro,
2005-07-21,0.69, -2.47, 1.80, 2.16, 1.64, 7.43, repro,
2005-07-22,1.06, -2.71, -3.08, 2.14, 1.64, 7.44, repro,
2005-07-23,-0.79, -3.61, -2.75, 2.17, 1.66, 7.57, repro,
2005-07-24,1.80, -3.85, 3.46, 2.17, 1.66, 7.56, repro,
2005-07-25,2.39, -1.89, 4.60, 2.18, 1.67, 7.62, repro,
2005-07-26,1.71, -3.01, 3.10, 2.2, 1.72, 7.76, repro,
2005-07-27,1.06, -2.01, -3.30, 2.22, 1.74, 7.84, repro,
2005-07-28,0.62, -3.53, 2.09, 2.26, 1.79, 8.06, repro,
2005-07-29,0.76, -3.30, -2.26, 2.2, 1.68, 7.68, repro,
2005-07-30,1.36, -3.12, -1.45, 2.18, 1.67, 7.65, repro,
2005-07-31,1.80, -3.25, -7.01, 2.19, 1.67, 7.7, repro,
2005-08-01,-0.39, -3.41, -7.02, 2.18, 1.68, 7.69, repro,
2005-08-02,-0.99, -3.49, 6.28, 2.17, 1.67, 7.66, repro,
2005-08-03,1.23, -2.89, -3.16, 2.16, 1.63, 7.45, repro,
2005-08-04,1.23, -3.63, 2.11, 2.16, 1.64, 7.49, repro,
2005-08-05,0.48, -3.22, -8.71, 2.19, 1.69, 7.69, repro,
2005-08-06,0.42, -2.77, -0.06, 2.17, 1.7, 7.59, repro,
2005-08-07,1.58, -2.73, -9.90, 2.13, 1.62, 7.37, repro,
2005-08-08,1.21, -1.66, -0.21, 2.14, 1.63, 7.42, repro,
2005-08-09,0.31, -5.82, 2.46, 2.25, 1.74, 7.86, repro,
2005-08-10,1.87, -4.16, -3.53, 2.17, 1.65, 7.51, repro,
2005-08-11,3.00, -4.45, -1.94, 2.25, 1.77, 7.88, repro,
2005-08-12,1.10, -4.40, -2.72, 2.19, 1.71, 7.68, repro,
2005-08-13,2.54, -4.69, -0.01, 2.14, 1.62, 7.4, repro,
2005-08-14,0.68, -4.38, -0.25, 2.36, 1.8, 7.95, repro,
