PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P317
Station name, AdanacRnchCN2006
Begin Date, 2006-06-02
End Date, 2026-03-28
Release Date, 2026-03-29
Source file, P317.cwu.igs14.pos
Offset from source file, 42.24 mm North, -150.19 mm East, -6.80 mm Vertical
Reference position, 39.9056703752 North Latitude, -123.5518514048 East Longitude, 1118.66351 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-06-02,0.00, 0.00, 0.00, 2.5, 1.84, 9.18, repro,
2006-06-03,-0.52, -0.84, -4.59, 2.38, 1.75, 8.69, repro,
2006-06-04,0.71, -0.94, -1.40, 2.41, 1.72, 8.82, repro,
2006-06-05,-0.13, -2.81, -1.46, 2.33, 1.72, 8.41, repro,
2006-06-06,0.64, -0.68, 5.29, 2.34, 1.72, 8.54, repro,
2006-06-07,1.00, -2.75, 4.75, 2.37, 1.73, 8.57, repro,
2006-06-08,-1.55, -2.39, -3.88, 2.38, 1.79, 8.69, repro,
2006-06-09,-2.12, -1.37, 4.39, 2.35, 1.75, 8.52, repro,
2006-06-10,-1.62, -2.75, 2.46, 2.35, 1.76, 8.53, repro,
2006-06-11,-0.54, -3.54, 0.45, 2.33, 1.76, 8.59, repro,
2006-06-12,-0.96, -1.69, 7.43, 2.36, 1.8, 8.62, repro,
2006-06-13,-1.35, -2.69, -0.17, 2.38, 1.75, 8.65, repro,
2006-06-14,0.45, -1.87, 1.89, 2.35, 1.73, 8.59, repro,
2006-06-15,-1.21, -1.80, 5.09, 2.3, 1.72, 8.49, repro,
2006-06-16,0.39, -3.24, 12.31, 2.29, 1.71, 8.29, repro,
2006-06-17,-0.56, -1.14, 15.45, 2.33, 1.75, 8.5, repro,
2006-06-18,-2.08, -2.55, 6.21, 2.31, 1.72, 8.44, repro,
2006-06-19,-0.95, -2.59, 5.00, 2.37, 1.79, 8.79, repro,
2006-06-20,-1.05, -1.65, 12.18, 2.27, 1.71, 8.29, repro,
2006-06-21,-1.19, -2.91, 4.61, 2.4, 1.84, 8.96, repro,
2006-06-22,-1.39, -2.20, 7.16, 2.31, 1.75, 8.57, repro,
2006-06-23,-0.38, -1.10, 0.24, 2.37, 1.85, 8.72, repro,
2006-06-24,-1.46, -5.60, 3.14, 2.36, 1.8, 8.68, repro,
2006-06-25,-0.80, -2.64, 2.11, 2.31, 1.73, 8.36, repro,
