PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P318
Station name, WillitsAirCN2006
Begin Date, 2006-06-27
End Date, 2026-03-28
Release Date, 2026-03-29
Source file, P318.cwu.igs14.pos
Offset from source file, 49.74 mm North, -151.97 mm East, -15.83 mm Vertical
Reference position, 39.4523695088 North Latitude, -123.3718546416 East Longitude, 594.95620 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-06-27,0.00, 0.00, 0.00, 2.12, 1.67, 7.74, repro,
2006-06-28,2.02, -1.21, -4.27, 2.2, 1.71, 7.93, repro,
2006-06-29,0.47, -1.55, 5.57, 2.05, 1.65, 7.6, repro,
2006-06-30,1.91, -0.75, -4.42, 2.21, 1.69, 7.89, repro,
2006-07-01,0.43, -0.07, -6.14, 2.11, 1.66, 7.76, repro,
2006-07-03,-0.87, -1.57, 3.91, 3.42, 3.18, 15.19, repro,
2006-07-04,-1.21, -2.52, -0.39, 3.6, 3.27, 15.48, repro,
2006-07-05,-1.98, 1.89, 6.67, 3.58, 3.29, 16.06, repro,
2006-07-06,3.45, -1.34, -17.39, 3.73, 3.49, 16.23, repro,
2006-07-07,-0.59, -0.25, 9.21, 3.72, 3.45, 16.67, repro,
2006-07-08,-0.65, -0.37, 11.78, 4.06, 3.51, 18.29, repro,
2006-07-09,-1.68, -5.20, 6.00, 3.99, 3.68, 17.62, repro,
2006-07-10,2.32, -3.04, -10.27, 4.04, 3.64, 18.58, repro,
2006-07-11,3.29, -4.04, -5.48, 4.16, 3.65, 18.05, repro,
2006-07-12,1.38, -5.26, 7.07, 3.86, 3.39, 17.01, repro,
2006-07-13,0.39, -3.06, 6.70, 3.48, 3.1, 14.57, repro,
2006-07-14,1.08, -2.18, 5.98, 3.64, 3.25, 15.74, repro,
2006-07-15,-0.28, -0.47, 20.17, 3.86, 3.46, 17, repro,
2006-07-16,-0.05, -0.87, 13.62, 4.11, 3.71, 19.28, repro,
2006-07-17,3.87, -3.38, 9.74, 4.2, 3.83, 19.63, repro,
2006-07-18,0.25, -2.39, 16.76, 4.09, 3.63, 18.71, repro,
2006-07-19,0.92, -1.65, -10.88, 3.91, 3.71, 18.85, repro,
2006-07-20,4.01, -3.11, 7.16, 3.96, 3.62, 18.76, repro,
2006-07-21,1.12, -3.89, 9.44, 3.98, 3.61, 18.82, repro,
2006-07-22,1.36, -2.29, 2.72, 4.26, 3.85, 19.7, repro,
2006-07-23,0.19, -5.95, 0.42, 4.28, 3.91, 20.21, repro,
2006-07-24,0.47, -3.05, -10.24, 4.25, 3.77, 19.84, repro,
2006-07-25,2.52, -0.28, -0.26, 4.23, 3.75, 19.74, repro,
2006-07-26,2.41, -5.69, 24.46, 4.09, 3.78, 19.23, repro,
2006-07-27,2.40, -2.94, 4.71, 4.04, 3.56, 18.62, repro,
2006-07-28,5.62, -7.22, -20.49, 3.91, 3.4, 17.11, repro,
2006-07-29,0.87, -3.17, 3.77, 3.89, 3.31, 16.8, repro,
2006-07-30,1.45, -3.83, 9.49, 3.82, 3.38, 17.82, repro,
2006-07-31,-0.30, -5.34, 15.55, 3.73, 3.37, 16.71, repro,
