PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, PNHG
Station name, Panhandle_Gap   
Begin Date, 2021-06-24
End Date, 2022-09-20
Release Date, 2026-03-28
Source file, PNHG.cwu.igs14.pos
Offset from source file, 133.17 mm North, 159.36 mm East, -7.42 mm Vertical
Reference position, 46.8590800975 North Latitude, -121.6426271521 East Longitude, 2091.98100 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2021-06-24,0.00, 0.00, 0.00, 4.47, 3.4, 15.57, suppf,
2021-06-25,-1.68, -5.07, -13.60, 2.08, 1.48, 7.09, suppf,
2021-06-26,-3.57, -4.68, -1.79, 2.06, 1.47, 7.02, suppf,
2021-06-27,-0.42, -7.92, -2.48, 2.07, 1.48, 7.07, suppf,
2021-06-28,0.66, -8.19, -8.43, 2.09, 1.49, 7.17, suppf,
2021-06-29,1.05, -9.79, -7.71, 2.08, 1.48, 7.07, suppf,
2021-06-30,1.68, -10.08, 0.91, 2.05, 1.48, 7.05, suppf,
2021-07-01,-0.39, -10.17, -9.98, 2.1, 1.52, 7.29, suppf,
2021-07-02,-1.39, -8.87, 5.07, 2.07, 1.49, 7.06, suppf,
2021-07-03,-2.59, -10.27, 2.82, 2.09, 1.48, 7.04, suppf,
2021-07-04,-2.51, -9.51, 1.77, 2.08, 1.48, 7.09, suppf,
2021-07-05,-2.07, -7.79, 8.10, 2.05, 1.46, 6.96, suppf,
2021-07-06,-1.74, -10.59, 1.05, 2.07, 1.47, 7.04, suppf,
2021-07-07,-0.69, -12.13, -6.21, 2.07, 1.49, 7.09, suppf,
2021-07-08,-1.17, -10.45, 0.33, 2.05, 1.46, 6.97, suppf,
2021-07-09,-1.23, -10.25, 3.86, 2.1, 1.5, 7.16, suppf,
2021-07-10,-2.05, -11.67, -7.73, 2.07, 1.49, 7.13, suppf,
2021-07-11,-3.09, -10.08, -0.32, 2.04, 1.47, 6.96, suppf,
2021-07-12,-2.13, -10.88, 2.56, 2.04, 1.46, 6.94, suppf,
2021-07-13,-0.69, -11.50, 3.80, 2.04, 1.46, 6.94, suppf,
2021-07-14,-3.18, -10.80, 3.10, 2.05, 1.47, 6.98, suppf,
2021-07-15,-2.18, -11.57, 0.12, 2.09, 1.5, 7.14, suppf,
2021-07-16,-2.07, -10.29, 4.90, 2.18, 1.56, 7.38, suppf,
2021-07-17,-1.48, -12.40, -4.73, 2.13, 1.5, 7.22, suppf,
2021-07-18,0.49, -11.70, -16.61, 2.11, 1.48, 7.13, suppf,
2021-07-19,0.15, -11.53, -7.42, 2.07, 1.48, 7.1, suppf,
2021-07-20,-2.26, -11.02, -6.47, 2.06, 1.48, 7.06, suppf,
2021-07-21,-2.39, -11.66, -0.77, 2.06, 1.47, 7.03, suppf,
2021-07-22,-3.54, -9.70, -1.27, 2.1, 1.52, 7.18, suppf,
2021-07-23,-3.22, -6.28, -1.92, 2.1, 1.52, 7.15, suppf,
2021-07-24,-4.54, -9.73, 8.78, 2.04, 1.46, 6.95, suppf,
2021-07-25,-3.09, -10.27, 3.83, 2.05, 1.47, 7, suppf,
2021-07-26,-3.83, -10.89, 0.53, 2.06, 1.47, 7.02, suppf,
2021-07-27,-1.91, -11.26, 1.87, 2.07, 1.48, 7.1, suppf,
2021-07-28,-2.42, -11.17, -8.45, 2.06, 1.48, 7.04, suppf,
2021-07-29,0.24, -13.18, -13.88, 2.09, 1.52, 7.23, suppf,
2021-07-30,-3.12, -14.23, -2.92, 2.16, 1.52, 7.31, suppf,
2021-07-31,-2.41, -12.54, -4.16, 2.08, 1.48, 7.1, suppf,
2021-08-01,-3.52, -11.28, -2.98, 2.05, 1.46, 6.95, suppf,
2021-08-02,-4.01, -10.33, -2.12, 2.07, 1.48, 7.04, suppf,
2021-08-03,-2.31, -12.69, -8.09, 2.09, 1.49, 7.15, suppf,
2021-08-04,-5.57, -12.44, 4.02, 2.09, 1.51, 7.21, suppf,
