PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, UNBJ
Station name, Fredericton,_Can
Begin Date, 2006-08-17
End Date, 2026-04-01
Release Date, 2026-04-02
Source file, UNBJ.cwu.igs14.pos
Offset from source file, 27.46 mm North, -49.84 mm East, -8.44 mm Vertical
Reference position, 45.9502095818 North Latitude, -66.6417058176 East Longitude, 22.74739 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-08-17,0.00, 0.00, 0.00, 2.15, 1.61, 7.21, repro,
2006-08-18,1.68, 1.61, 1.55, 2.24, 1.7, 7.6, repro,
2006-08-19,0.90, 0.25, -2.01, 2.21, 1.65, 7.38, repro,
2006-08-20,1.37, 0.83, 2.96, 2.15, 1.62, 7.22, repro,
2006-08-21,3.95, -0.41, -11.65, 2.23, 1.73, 7.7, repro,
2006-08-22,2.72, 0.59, -6.61, 2.2, 1.65, 7.33, repro,
2006-08-23,0.15, 2.26, 5.62, 2.19, 1.67, 7.35, repro,
2006-08-24,0.97, 0.79, -5.97, 2.25, 1.7, 7.5, repro,
2006-08-25,1.34, 1.24, 2.79, 2.25, 1.66, 7.46, repro,
2006-08-26,0.69, 0.34, -6.02, 2.78, 2.19, 9.51, repro,
2006-08-27,1.43, 1.14, 0.20, 2.37, 1.76, 7.86, repro,
2006-08-28,-0.01, 1.44, -1.62, 2.44, 1.77, 8.06, repro,
2006-08-29,0.02, 0.69, 0.25, 2.31, 1.71, 7.74, repro,
2006-08-30,0.87, 0.54, 0.36, 2.21, 1.65, 7.46, repro,
2006-08-31,-0.43, 0.96, -2.96, 2.3, 1.69, 7.64, repro,
2006-09-01,2.02, -0.09, -3.84, 2.44, 1.83, 8.29, repro,
2006-09-02,1.23, 0.09, -9.09, 2.25, 1.64, 7.41, repro,
2006-09-03,-1.65, -1.00, -4.07, 2.21, 1.65, 7.39, repro,
2006-09-04,1.43, -0.03, -19.43, 2.33, 1.72, 7.83, repro,
2006-09-05,0.85, 0.40, -0.90, 2.39, 1.74, 7.92, repro,
2006-09-06,1.80, 0.41, -3.53, 2.46, 1.81, 8.23, repro,
2006-09-07,3.20, 0.47, 3.97, 2.29, 1.7, 7.63, repro,
2006-09-08,0.23, 0.33, -7.15, 2.3, 1.68, 7.58, repro,
2006-09-09,0.75, -0.44, 3.56, 2.23, 1.68, 7.53, repro,
2006-09-10,3.11, 0.31, -4.19, 2.22, 1.67, 7.41, repro,
2006-09-11,2.95, 0.16, -10.38, 2.21, 1.64, 7.36, repro,
2006-09-12,0.87, -0.69, -3.93, 2.19, 1.65, 7.42, repro,
2006-09-13,1.06, 0.05, -3.57, 2.28, 1.7, 7.5, repro,
2006-09-14,-1.66, 0.96, 5.27, 2.27, 1.71, 7.68, repro,
2006-09-15,2.48, 0.47, -3.04, 2.19, 1.68, 7.44, repro,
2006-09-16,0.72, -0.77, -7.63, 2.19, 1.64, 7.32, repro,
